#GPSstart GPSend GMSTstart GMSTend
1126884576.0 1126893057.0 36182.63924258128 36183.25768692884
1126908775.0 1126909054.0 36184.40386169893 36184.424206700365
1126910309.0 1126910328.0 36184.515722753786 36184.51710825709
1126910419.0 1126915782.0 36184.52374408174 36184.91482025501
1126917983.0 1126942368.0 36185.075319725795 36186.85350217578
1126954909.0 1126963846.0 36187.76800642604 36188.41970282051
1126987777.0 1126988688.0 36190.16477906512 36190.231210241094
1126988732.0 1126989208.0 36190.23441877227 36190.269129243236
1126989232.0 1126991568.0 36190.27087935035 36190.44122317695
1126994536.0 1126999495.0 36190.65765317515 36191.01926920175
1127000092.0 1127059230.0 36191.06280313199 36195.37521460748
1127059246.0 1127072295.0 36195.37638134555 36196.32792954294
1127072307.0 1127074207.0 36196.328804597964 36196.467354798784
1127087956.0 1127092215.0 36197.469947809004 36197.780519022774
1127094568.0 1127095447.0 36197.9521025082 36198.01620020803
1127095649.0 1127111469.0 36198.03093028138 36199.18454301037
1127118883.0 1127120670.0 36199.725180478374 36199.85549058897
1127120693.0 1127126633.0 36199.85716777531 36200.2903194577
1127126723.0 1127133359.0 36200.29688236159 36200.78078717083
1127166251.0 1127172026.0 36203.17930991702 36203.60042960897
1127175204.0 1127180171.0 36203.83217304955 36204.19437244519
1127180372.0 1127224040.0 36204.20902959777 36207.39335074922
1127234323.0 1127256633.0 36208.143199021746 36209.770070069906
1127258621.0 1127271521.0 36209.91503733307 36210.855720278094
1127308011.0 1127310629.0 36213.51661335256 36213.70752094582
1127326664.0 1127329701.0 36214.87681172395 36215.09827328414
1127329752.0 1127331295.0 36215.101992260665 36215.21450960825
1127332311.0 1127332890.0 36215.28859750542 36215.330818858994
1127333920.0 1127378210.0 36215.40592764978 36218.63560576228
1127384932.0 1127409172.0 36219.125781792354 36220.893390673016
1127421366.0 1127423155.0 36221.78259128062 36221.91304723568
1127424956.0 1127436818.0 36222.04437823988 36222.90936902507
1127442036.0 1127460551.0 36223.28987162904 36224.64000687938
1127464573.0 1127464898.0 36224.93329577842 36224.95699515549
1127466909.0 1127474280.0 36225.10363960502 36225.641141465545
1127474840.0 1127480460.0 36225.68197731287 36226.091794224936
1127480471.0 1127480886.0 36226.0925963592 36226.12285864015
1127481423.0 1127483227.0 36226.16201730115 36226.29356707057
1127496501.0 1127497073.0 36227.261522530585 36227.30323343294
1127497295.0 1127499083.0 36227.31942193034 36227.449804961696
1127505005.0 1127505127.0 36227.881644061556 36227.89054044452
1127505432.0 1127506096.0 36227.912781397536 36227.9612010453
1127507637.0 1127508497.0 36228.07357255136 36228.136284747896
1127512000.0 1127538416.0 36228.391727565555 36230.31801288912
1127541740.0 1127541833.0 36230.56040282272 36230.56718448889
1127542040.0 1127563235.0 36230.582279168986 36232.12784312335
1127563246.0 1127565085.0 36232.12864525762 36232.262747268425
1127600335.0 1127604345.0 36234.83321810679 36235.12563195374
1127605811.0 1127613329.0 36235.23253437031 36235.780755641674
1127617433.0 1127634253.0 36236.08002407555 36237.306557963646
1127637444.0 1127658897.0 36237.539249380025 36239.103626993936
1127664079.0 1127666082.0 36239.48150443871 36239.62756551919
1127666191.0 1127668646.0 36239.63551392344 36239.81453536777
1127678067.0 1127679029.0 36240.50152560224 36240.571675757674
1127688701.0 1127742709.0 36241.27696920341 36245.21529513435
1127747270.0 1127747334.0 36245.547888538844 36245.55255549408
1127781789.0 1127797784.0 36248.06505401192 36249.231427941915
1127807783.0 1127814170.0 36249.960566606256 36250.42631404576
1127833789.0 1127833914.0 36251.85695425563 36251.86606940088
1127976569.0 1128000259.0 36262.26863727434 36263.99613952117
1128000312.0 1128007755.0 36264.000004342146 36264.54275652402
1128035397.0 1128035610.0 36266.55844319008 36266.57397539769
1128036593.0 1128037349.0 36266.645656895 36266.700785291105
1128039683.0 1128072514.0 36266.870983276174 36269.265057832345
1128116311.0 1128122075.0 36272.4587858121 36272.87910336979
1128122086.0 1128154234.0 36272.87990550405 36275.22417490916
1128154283.0 1128171655.0 36275.22774804415 36276.49453441054
1128211934.0 1128239687.0 36279.43172575826 36281.45550667009
1128240326.0 1128299091.0 36281.502103289975 36285.78731517416
1128318602.0 1128351692.0 36287.21007989762 36289.623041034094
1128387358.0 1128389058.0 36292.22384707418 36292.34781304611
1128389257.0 1128406196.0 36292.36232435423 36293.59753586006
1128407287.0 1128421910.0 36293.6770928438 36294.7434189471
1128422615.0 1128425963.0 36294.794828363745 36295.03896840153
1128426090.0 1128444240.0 36295.04822938831 36296.37174841639
1128445077.0 1128459298.0 36296.43278342657 36297.46979522177
1128465016.0 1128466476.0 36297.886758406756 36297.99322329875
1128466487.0 1128504361.0 36297.994025430075 36300.75584138921
1128537778.0 1128539723.0 36303.19264774429 36303.33447939705
1128618379.0 1128641735.0 36309.070166044265 36310.773312624224
1128643458.0 1128688467.0 36310.89895577957 36314.181064205266
1128688589.0 1128706899.0 36314.189960588235 36315.52514700001
1128736043.0 1128763900.0 36317.65036124476 36319.68172595996
1128771600.0 1128775559.0 36320.243218880605 36320.531913748106
1128775697.0 1128776436.0 36320.54197686622 36320.59586560348
1128813103.0 1128824629.0 36323.26966572341 36324.110154997274
1128824666.0 1128830762.0 36324.11285308017 36324.557380463215
1128833416.0 1128837796.0 36324.75091321861 36325.07030789164
1128870735.0 1128873900.0 36327.47225793423 36327.703053399026
1128876234.0 1128876769.0 36327.8732513841 36327.91226420355
1128876805.0 1128880035.0 36327.91488936569 36328.15042470943
1128892375.0 1128894292.0 36329.050271804175 36329.19006166677
1128894305.0 1128895813.0 36329.19100963962 36329.300974748774
1128899221.0 1128904753.0 36329.549490055804 36329.952889905515
1128904791.0 1128913468.0 36329.95566090919 36330.58839780258
1128913481.0 1128922731.0 36330.58934577836 36331.263866494875
1128929662.0 1128929843.0 36331.769283043635 36331.78248177216
1128931592.0 1128933662.0 36331.910020879084 36332.0609676771
1128933713.0 1128938925.0 36332.06468665655 36332.444751735944
1128939097.0 1128940022.0 36332.45729417466 36332.524746247196
1128940105.0 1128947402.0 36332.5307987028 36333.06290439751
1128947419.0 1128956513.0 36333.06414405635 36333.72728907222
1128988134.0 1129003850.0 36336.03312902691 36337.17915795547
1129007433.0 1129011309.0 36337.44043446645 36337.723076875416
1129035641.0 1129052629.0 36339.49739450736 36340.73617914818
1129060956.0 1129061254.0 36341.34339363369 36341.36512414136
1129065728.0 1129085501.0 36341.691373404254 36343.1332434703
1129087589.0 1129118969.0 36343.28550285085 36345.57376880484
1129215967.0 1129218462.0 36352.646975342905 36352.82891363538
1129244812.0 1129257252.0 36354.75038616219 36355.6575253743
1129273816.0 1129294718.0 36356.86539144437 36358.38958950076
1129300312.0 1129301025.0 36358.797510461256 36358.849503246944
1129309464.0 1129312920.0 36359.46488490485 36359.71690042905
1129328438.0 1129334437.0 36360.84849096732 36361.285944998206
1129337131.0 1129341383.0 36361.482394598796 36361.79245536428
1129343599.0 1129364894.0 36361.95404865238 36363.50690472412
1129364905.0 1129370154.0 36363.50770685544 36363.890470017745
1129370165.0 1129381413.0 36363.89127214907 36364.71148934225
1129482446.0 1129486718.0 36372.07893275516 36372.39045194178
1129488743.0 1129489149.0 36372.53811728785 36372.567723279
1129498340.0 1129498757.0 36373.23794164702 36373.268349769496
1129512235.0 1129566062.0 36374.25118114732 36378.1763083468
1129619326.0 1129622068.0 36382.060380936666 36382.26033075442
1129622808.0 1129627650.0 36382.31429240951 36382.66737665989
1129633028.0 1129637823.0 36383.05954665049 36383.40920360741
1129638145.0 1129648547.0 36383.43268421925 36384.19121010952
1129659860.0 1129661856.0 36385.01616717871 36385.161717810915
1129674669.0 1129676608.0 36386.09605661434 36386.237450739594
1129684715.0 1129688795.0 36386.82862257215 36387.126140898916
1129697526.0 1129701315.0 36387.76281553405 36388.039113804356
1129703961.0 1129703995.0 36388.23206319071 36388.23454251133
1129721549.0 1129736377.0 36389.51460052699 36390.59587546593
1129742583.0 1129743298.0 36391.048424176915 36391.100562804124
1129744998.0 1129745360.0 36391.22452877312 36391.2509262331
1129747048.0 1129752779.0 36391.37401715 36391.79192830785
1129755644.0 1129756505.0 36392.00084742932 36392.06363254661
1129758374.0 1129760577.0 36392.19992219204 36392.36056750434
1129773260.0 1129776761.0 36393.2854265587 36393.54072353484
1129785932.0 1129801165.0 36394.2094834788 36395.320291488126
1129801772.0 1129802401.0 36395.364554628926 36395.41042203825
1129979554.0 1129986194.0 36408.328624039954 36408.812820532265
1130018405.0 1130022832.0 36411.16168397184 36411.48450594127
1130023404.0 1130024424.0 36411.52621684363 36411.60059642385
1130024681.0 1130025815.0 36411.619337162636 36411.70202975679
1130026364.0 1130027531.0 36411.7420634728 36411.82716246386
1130027550.0 1130066791.0 36411.82854796716 36414.69004714918
1130073419.0 1130073452.0 36415.17336858645 36415.1757749863
1130074903.0 1130078332.0 36415.28158358556 36415.53163024035
1130078978.0 1130084807.0 36415.57873730852 36416.0037947422
1130086256.0 1130087544.0 36416.10945749993 36416.20337995319
1130087771.0 1130088337.0 36416.219933054424 36416.26120643221
1130088532.0 1130088671.0 36416.27542605728 36416.285562099074
1130128530.0 1130164504.0 36419.192126556154 36421.81539231447
1130170386.0 1130170740.0 36422.24431456914 36422.27012866008
1130170976.0 1130184410.0 36422.28733805403 36423.26696089775
1130187673.0 1130187675.0 36423.5049026384 36423.505048479936
1130187709.0 1130192283.0 36423.50752779761 36423.84106917788
1130193521.0 1130193529.0 36423.931345572455 36423.9319289415
1130196020.0 1130244155.0 36424.11357554798 36427.62363551404
1130312919.0 1130313828.0 36432.637986062575 36432.7042713941
1130317306.0 1130330491.0 36432.95789118388 36433.91935666078
1130475302.0 1130482412.0 36444.479142550146 36444.99761198883
1130499137.0 1130520620.0 36446.2172183663 36447.78378361485
1130520750.0 1130545189.0 36447.79326336391 36449.575383558564
1130545954.0 1130559234.0 36449.63116824447 36450.59956122907
1130572469.0 1130578448.0 36451.56467276465 36452.00066837148
1130585169.0 1130594443.0 36452.49077147786 36453.16704230148
1130638063.0 1130645698.0 36456.347863238705 36456.904616283355
1130667156.0 1130675171.0 36458.469358504015 36459.05382159117
1130675184.0 1130689007.0 36459.05476956402 36460.06275874005
1130696734.0 1130699513.0 36460.626220533035 36460.82886843075
1130699524.0 1130700407.0 36460.82967056501 36460.89405994789
1130704831.0 1130711922.0 36461.216663152096 36461.733747087485
1130723328.0 1130723385.0 36462.56548582283 36462.56964232686
1130723398.0 1130743336.0 36462.57059030265 36464.02449236208
1130744470.0 1130753415.0 36464.10718495623 36464.75946471973
1130766957.0 1130864260.0 36465.74696304985 36472.84241054094
1130875333.0 1130889650.0 36473.64986652726 36474.693878753846
1130893072.0 1130895993.0 36474.94341496036 36475.1564176651
1130899676.0 1130916247.0 36475.42498629052 36476.63336280886
1130942185.0 1130943617.0 36478.52479181994 36478.62921491884
1130962318.0 1130965833.0 36479.992913504444 36480.24923137713
1130969374.0 1130973763.0 36480.507445198455 36480.827496164224
1131145129.0 1131145874.0 36493.32370342189 36493.378029683736
1131145891.0 1131148211.0 36493.3792693455 36493.548446431094
1131148260.0 1131165960.0 36493.55201956902 36494.84272407476
1131166314.0 1131179534.0 36494.868538165705 36495.83255588105
1131181910.0 1131190469.0 36496.00581655283 36496.629948749236
1131191219.0 1131193385.0 36496.68463961784 36496.842586847226
1131269508.0 1131272860.0 36502.393564201266 36502.637995925026
1131293697.0 1131298698.0 36504.157454105414 36504.52213281873
1131308560.0 1131308974.0 36505.24128128573 36505.271470645916
1131309039.0 1131314499.0 36505.27621051898 36505.674360044424
1131319128.0 1131334715.0 36506.0119120872 36507.14853418746
1131335129.0 1131343451.0 36507.17872354765 36507.78557342934
1131347797.0 1131363871.0 36508.10248878176 36509.274623484314
1131364808.0 1131372171.0 36509.34295061186 36509.87986910042
1131376716.0 1131377108.0 36510.21129576683 36510.23988086142
1131377158.0 1131377916.0 36510.243526920116 36510.29880115775
1131378147.0 1131387095.0 36510.31564594495 36510.968144470746
1131394690.0 1131397345.0 36511.5219806702 36511.715586346356
1131397836.0 1131405141.0 36511.751390634636 36512.28407969839
1131405171.0 1131426271.0 36512.286267333024 36513.8249037797
1131599144.0 1131600606.0 36526.431003222824 36526.53761395634
1131600773.0 1131600974.0 36526.54979178831 36526.56444894089
1131601203.0 1131616331.0 36526.58114788657 36527.68429917471
1131634081.0 1131647696.0 36528.97864973915 36529.97147131138
1131648554.0 1131655927.0 36530.03403766637 36530.57168536843
1131656460.0 1131665255.0 36530.610552346356 36531.25189393379
1131704174.0 1131717650.0 36534.089912503965 36535.072598037324
1131718399.0 1131727640.0 36535.12721598515 36535.801080411875
1131736057.0 1131737249.0 36536.414857804186 36536.501779823135
1131740052.0 1131742158.0 36536.70617783089 36536.859749791045
1131747085.0 1131772337.0 36537.21903233855 36539.06043743627
1131944156.0 1131950992.0 36551.58967797562 36552.088167016685
1131986893.0 1131988271.0 36554.70610952997 36554.806594887115
1132013649.0 1132016316.0 36556.65718804793 36556.851668779105
1132016765.0 1132026630.0 36556.88441037774 36557.60377760702
1132028683.0 1132035036.0 36557.753484746194 36558.21675286508
1132044280.0 1132044354.0 36558.89083605702 36558.89623222282
1132046634.0 1132057611.0 36559.06249246322 36559.86294802106
1132058073.0 1132064206.0 36559.89663759548 36560.34386306142
1132065184.0 1132071636.0 36560.415179954936 36560.885667270435
1132072922.0 1132080829.0 36560.97944387924 36561.55603147998
1132087439.0 1132090332.0 36562.03804033765 36562.24900124929
1132100415.0 1132103455.0 36562.98426529293 36563.20594561248
1132108389.0 1132119479.0 36563.5657386112 36564.37443425928
1132120017.0 1132175484.0 36564.41366584102 36568.458383743186
1132175811.0 1132184025.0 36568.48222896179 36569.08120335707
1132221028.0 1132223315.0 36571.77950498834 36571.946275677015
1132226077.0 1132228049.0 36572.14768391883 36572.29148444098
1132260824.0 1132261506.0 36574.68147541389 36574.73120764418
1132266840.0 1132273069.0 36575.12016910361 36575.57439500094
1132273553.0 1132285862.0 36575.60968884095 36576.50727538324
1132285937.0 1132287599.0 36576.51274446981 36576.63393943514
1132332433.0 1132333586.0 36579.90328665689 36579.98736475142
1132333714.0 1132339319.0 36579.99669866188 36580.40542175371
1132339376.0 1132339955.0 36580.409578260675 36580.45179961131
1132342270.0 1132342897.0 36580.62061209308 36580.666333660876
1132370120.0 1132370126.0 36582.65146636 36582.651903887505
1132371331.0 1132409063.0 36582.73977388224 36585.49123503728
1132503178.0 1132507118.0 36592.35420987429 36592.64151923849
1132533043.0 1132535604.0 36594.53200027377 36594.718751360066
1132544648.0 1132552487.0 36595.37825032018 36595.949879282634
1132577658.0 1132584111.0 36597.78537776335 36598.25593799961
1132613790.0 1132615536.0 36600.420165063835 36600.547485405536
1132617754.0 1132618908.0 36600.709224535145 36600.79337555336
1132619923.0 1132637904.0 36600.86739052977 36602.17858588142
1132646802.0 1132652680.0 36602.82743835146 36603.256068920135
1132670979.0 1132671334.0 36604.59045320058 36604.616340212284
1132674153.0 1132674954.0 36604.821904958124 36604.880314806156
1132682945.0 1132683758.0 36605.46302778327 36605.52231268634
1132712481.0 1132727714.0 36607.616827122634 36608.72763513196
1132730581.0 1132759465.0 36608.936700092025 36611.04295483571
1132759948.0 1132814101.0 36611.07817575496 36615.027075255224
1132882113.0 1132912454.0 36619.986589090695 36622.199089961156
1132919906.0 1132998561.0 36622.74249843576 36628.478112162215
1132999214.0 1133001559.0 36628.52572967865 36628.69672979504
1133001686.0 1133008156.0 36628.705990781826 36629.17779067693
1133009248.0 1133014147.0 36629.25742058436 36629.614661338775
1133053631.0 1133093673.0 36632.49388036303 36635.4137893931
1133104415.0 1133111053.0 36636.19710848068 36636.68115912852
1133111372.0 1133121833.0 36636.70442097807 36637.467249219764
1133122648.0 1133138731.0 36637.52667996435 36638.699470956715
1133138776.0 1133138980.0 36638.70275240866 36638.71762832352
1133139029.0 1133165664.0 36638.72120146144 36640.66345652014
1133165816.0 1133172949.0 36640.67454053479 36641.19468715983
1133180312.0 1133189215.0 36641.731605651315 36642.38082272517
1133191939.0 1133194808.0 36642.579459960376 36642.7886707649
1133204861.0 1133211518.0 36643.52174717098 36644.007183325055
1133216264.0 1133233383.0 36644.35326714111 36645.6016044547
1133244295.0 1133245565.0 36646.397320136544 36646.48993001022
1133259981.0 1133266355.0 36647.54116143049 36648.005960894196
1133286505.0 1133304337.0 36649.47532224046 36650.77565233975
1133326433.0 1133341855.0 36652.38691825954 36653.51150836641
1133342188.0 1133342807.0 36653.535791112525 36653.58092930836
1133343404.0 1133349541.0 36653.624463241526 36654.07198039051
1133369819.0 1133370782.0 36655.55067564433 36655.62089872053
1133370917.0 1133380618.0 36655.63074307634 36656.33815123595
1133442731.0 1133448890.0 36660.86750315792 36661.3166245725
1133449024.0 1133457951.0 36661.32639600756 36661.97736318852
1133458026.0 1133468426.0 36661.982832278016 36662.74121232677
1133585239.0 1133597643.0 36671.259351620545 36672.16386567053
1133600578.0 1133617494.0 36672.377889271826 36673.611423588365
1133662938.0 1133665971.0 36676.92525271908 36677.14642259329
1133674082.0 1133674482.0 36677.7378861089 36677.76705457254
1133674635.0 1133692878.0 36677.77821151089 36679.10851220514
1133740241.0 1133744009.0 36682.56227703703 36682.837043962514
1133744383.0 1133747565.0 36682.86431647751 36683.09635160409
1133752563.0 1133754942.0 36683.46081155511 36683.63429098919
1133759498.0 1133771116.0 36683.96651978692 36684.81371780912
1133771139.0 1133773825.0 36684.815394995465 36685.01126122701
1133775715.0 1133778771.0 36685.14908221727 36685.37192927782
1133779781.0 1133801006.0 36685.445579647494 36686.99333123649
1133927139.0 1133936996.0 36696.191095729526 36696.90987958977
1133937148.0 1133959471.0 36696.92096360443 36698.54878262838
1133962116.0 1133966022.0 36698.741659091036 36699.02648913756
1133996501.0 1134010574.0 36701.24905312906 36702.27527259266
1134147954.0 1134156863.0 36712.293181355184 36712.94283595655
1134158070.0 1134158818.0 36713.03085179574 36713.085396822804
1134159850.0 1134178122.0 36713.160651458056 36714.49306686617
1134188796.0 1134195798.0 36715.271427312524 36715.78202126479
1134197704.0 1134218536.0 36715.92100899312 36717.4401025697
1134267695.0 1134270634.0 36721.02483380197 36721.23914908632
1134277779.0 1134278456.0 36721.760170763446 36721.80953838993
1134280465.0 1134281330.0 36721.95603699793 36722.01911379827
1134282028.0 1134291628.0 36722.07001276664 36722.77005588811
1134291730.0 1134292250.0 36722.77749384701 36722.81541284915
1134292342.0 1134302304.0 36722.82212159749 36723.548562178934
1134302866.0 1134302916.0 36723.58954387072 36723.593189926476
1134303090.0 1134303823.0 36723.605878209666 36723.65932941942
1134304180.0 1134304357.0 36723.68536227264 36723.698269318105
1134304455.0 1134330249.0 36723.705415591015 36725.586343953546
1134332858.0 1134348434.0 36725.776595257004 36726.91241522299
1134351873.0 1134355920.0 36727.16319108542 36727.45830301527
1134358432.0 1134369981.0 36727.641480966566 36728.48364742678
1134376661.0 1134399476.0 36728.97076076426 36730.63445699726
1134402385.0 1134408291.0 36730.84658464697 36731.277257008755
1134432253.0 1134440996.0 36733.024593811686 36733.662143501846
1134441368.0 1134447815.0 36733.68927017239 36734.159392881134
1134453482.0 1134458355.0 36734.57263708667 36734.92798189244
1134459765.0 1134476473.0 36735.03080072574 36736.24916744144
1134487201.0 1134491248.0 36737.03146563247 36737.32657755939
1134491342.0 1134497393.0 36737.33343214925 36737.77467808036
1134497503.0 1134502781.0 36737.78269940536 36738.16757728152
1134503611.0 1134506057.0 36738.22810184342 36738.40646699796
1134517925.0 1134528862.0 36739.27189530773 36740.06943401745
1134543036.0 1134582749.0 36741.10301851919 36743.99893648912
1134583250.0 1134586485.0 36744.03546998797 36744.27136993846
1134586774.0 1134589596.0 36744.2924441534 36744.49822766152
1134619010.0 1134637232.0 36746.643130617915 36747.97189997027
1134637384.0 1134637452.0 36747.982983987866 36747.987942626154
1134637604.0 1134644028.0 36747.999026640806 36748.46747216321
1134771900.0 1134775552.0 36757.79204654968 36758.05835462265
1134776354.0 1134783951.0 36758.11683739145 36758.670819432424
1134784465.0 1134784804.0 36758.70830090706 36758.73302118068
1134785676.0 1134788385.0 36758.7966084293 36758.99415185014
1134788445.0 1134829873.0 36758.99852711939 36762.019504875636
1134863076.0 1134863216.0 36764.44070610234 36764.4509150649
1134863232.0 1134864176.0 36764.452081802985 36764.520919375886
1134864192.0 1134866640.0 36764.52208611689 36764.700597112955
1134866656.0 1134867536.0 36764.70176385102 36764.76593446869
1134867552.0 1134868000.0 36764.7671012097 36764.79976988756
1134868016.0 1134868592.0 36764.80093662563 36764.84293921398
1134868608.0 1134868656.0 36764.844105952056 36764.847606166295
1134868916.0 1134878382.0 36764.86656566736 36765.5568373567
1134904213.0 1134910164.0 36767.44046380214 36767.87441761585
1134910700.0 1134928384.0 36767.91350335901 36769.203041126675
1135023038.0 1135024279.0 36776.10532046619 36776.19581562599
1135033019.0 1135040786.0 36776.83314655093 36777.39952518911
1135043834.0 1135048320.0 36777.62178888063 36777.94891319854
1135054905.0 1135065789.0 36778.42909902834 36779.222772917085
1135066629.0 1135090358.0 36779.28402668955 36781.01437286081
1135090539.0 1135095421.0 36781.02757159227 36781.38357268784
1135095444.0 1135096408.0 36781.38524987419 36781.45554587115
1135100657.0 1135103160.0 36781.76538787435 36781.947909532915
1135135994.0 1135151418.0 36784.34220285431 36785.46693880272
1135151627.0 1135161704.0 36785.48217932433 36786.21700584046
1135172506.0 1135173083.0 36787.00470019437 36787.04677570347
1135173304.0 1135187459.0 36787.062891277186 36788.095090278555
1135192622.0 1135193716.0 36788.47158222002 36788.551357966055
1135193827.0 1135195359.0 36788.55945221476 36788.67116743102
