GPSstart	GPSend	GMSTstart	GMSTend
1258629613.0	1258755055.0	40376.37957129236	40380.40370496431
1258756695.0	1258773454.0	40380.456315567	40380.99393818309
1258785203.0	1258818347.0	40381.37084182391	40382.43408927231
1258840018.0	1258840200.0	40383.129287059375	40383.13512555309
1258840747.0	1258891562.0	40383.152673113866	40384.7827998062
1258894227.0	1258922127.0	40384.868292035564	40385.76331387392
1258943028.0	1258944630.0	40386.43381034143	40386.48520191795
1258964419.0	1259013701.0	40387.120025830474	40388.700974441155
1259029684.0	1259032311.0	40389.21370325988	40389.29797646308
1259040545.0	1259071940.0	40389.56212018412	40390.56926034954
1259082845.0	1259103567.0	40390.919088777766	40391.58384299047
1259106578.0	1259113699.0	40391.680434773814	40391.90887386022
1259122155.0	1259125887.0	40392.18013926041	40392.29986046116
1259126330.0	1259137805.0	40392.314071739806	40392.68218556042
1259153976.0	1259199080.0	40393.200945350676	40394.64786524305
1259199288.0	1259216642.0	40394.65453780729	40395.21124780668
1259247678.0	1259267505.0	40396.206871382856	40396.84291432153
1259276943.0	1259294170.0	40397.145681924056	40397.6983178097
1259294442.0	1259296877.0	40397.70704347063	40397.78515738376
1259297320.0	1259298413.0	40397.79936866242	40397.83443170433
1259311044.0	1259318172.0	40398.239629583906	40398.46829322777
1259335474.0	1259340250.0	40399.023335086094	40399.1765474266
1259340643.0	1259358773.0	40399.18915472346	40399.770758520215
1259359169.0	1259365161.0	40399.78346205599	40399.9756832336
1259365338.0	1259401381.0	40399.98136132913	40401.13760764168
1259403124.0	1259423392.0	40401.19352244685	40401.84371250491
1259445222.0	1259465348.0	40402.54401095406	40403.18964570384
1259465604.0	1259469824.0	40403.1978580906	40403.3332341536
1259479311.0	1259528407.0	40403.63757365828	40405.2125554567
1259538168.0	1259547865.0	40405.52568478158	40405.83676100978
1259549843.0	1259559668.0	40405.900214529356	40406.21539695093
1259560273.0	1259581061.0	40406.23480513058	40406.90167659924
1259592829.0	1259607402.0	40407.27918975314	40407.74668628542
1259607628.0	1259618544.0	40407.7539362831	40408.10411758732
1259625238.0	1259639682.0	40408.31885866925	40408.78221692851
1259640165.0	1259820500.0	40408.79771139259	40414.582792511595
1259820637.0	1259853895.0	40414.5871874217	40415.654091948585
1259864451.0	1259874609.0	40415.99272458391	40416.318589524206
1259877351.0	1259880448.0	40416.40655188552	40416.50590251754
1259880531.0	1259938327.0	40416.50856512731	40418.362639757055
1259938879.0	1259966500.0	40418.380347716	40419.26641933598
1259966842.0	1259968948.0	40419.27739057142	40419.34495028438
1259968997.0	1259981885.0	40419.34652218653	40419.75996453251
1259982021.0	1259982058.0	40419.76432736297	40419.765514309496
1259982109.0	1260027914.0	40419.76715037092	40421.236558087985
1260066826.0	1260084047.0	40422.484840875586	40423.03728428341
1260145132.0	1260189345.0	40424.996868835246	40426.41520577214
1260196598.0	1260201611.0	40426.647879370474	40426.80869458466
1260203655.0	1260208971.0	40426.8742653602	40427.044800704025
1260209077.0	1260220416.0	40427.048201145415	40427.41195213557
1260220440.0	1260223278.0	40427.41272204683	40427.50376405318
1260223318.0	1260281149.0	40427.505047238614	40429.3602446556
1260286594.0	1260376861.0	40429.534918272446	40432.430650755705
1260376900.0	1260382850.0	40432.431901861506	40432.62277569441
1260388794.0	1260427016.0	40432.81345704951	40434.03960488843
1260433875.0	1260572984.0	40434.25963911026	40438.722205164464
1260573057.0	1260582254.0	40438.72454697787	40439.01958338817
1260582318.0	1260606313.0	40439.02163648487	40439.79138734549
