GPSstart	GPSend	GMSTstart	GMSTend
1239483766.0	1239491090.0	39762.18777276689	39762.422724019365
1239497816.0	1239502455.0	39762.638491649646	39762.78730908005
1239515967.0	1239554135.0	39763.22076911875	39764.445184657336
1239554617.0	1239566422.0	39764.460647041786	39764.83934714221
1239594591.0	1239599277.0	39765.74299840259	39765.893323575874
1239619579.0	1239636444.0	39766.54460434154	39767.085627399036
1239672090.0	1239685815.0	39768.22913809617	39768.669431097296
1239685979.0	1239687649.0	39768.67469215757	39768.72826514932
1239687766.0	1239717536.0	39768.73201846671	39769.687029223984
1239717541.0	1239719507.0	39769.687189622164	39769.75025818611
1239720016.0	1239726069.0	39769.766586720725	39769.96076475613
1239726377.0	1239743998.0	39769.970645283945	39770.535920546085
1239757903.0	1239768918.0	39770.981987881656	39771.33534506981
1239795018.0	1239822414.0	39772.172623563754	39773.05147726568
1239822694.0	1239823209.0	39773.0604595637	39773.07698057613
1239823328.0	1239836416.0	39773.08079805279	39773.50065632592
1239840671.0	1239878684.0	39773.63715517618	39774.85659837122
1239878705.0	1239878711.0	39774.85727204357	39774.85746452138
1239878773.0	1239918470.0	39774.8594534588	39776.13291876049
1239920069.0	1239923888.0	39776.18421409811	39776.30672622717
1239940651.0	1239993538.0	39776.84447716181	39778.54107285949
1240037821.0	1240065159.0	39779.961655370884	39780.83864845393
1240065469.0	1240066047.0	39780.848593141025	39780.867135170505
1240104659.0	1240111574.0	39782.10579406738	39782.32762474882
1240124192.0	1240141509.0	39782.73240559314	39783.287928646
1240146663.0	1240160231.0	39783.45326708882	39783.888523587135
1240189772.0	1240214164.0	39784.836188107816	39785.61867458384
1240219851.0	1240249072.0	39785.801111472545	39786.73851050977
1240266407.0	1240275368.0	39787.294610996076	39787.582076612336
1240275999.0	1240277858.0	39787.60231886251	39787.66195490544
1240279910.0	1240285184.0	39787.72778231806	39787.89697031718
1240285233.0	1240331166.0	39787.89854221934	39789.372056129774
1240335696.0	1240342595.0	39789.51737687988	39789.738694287145
1240345870.0	1240352951.0	39789.843755094334	39790.07091099532
1240360860.0	1240371200.0	39790.32462883473	39790.65633226873
1240371241.0	1240374780.0	39790.6576475338	39790.77117736483
1240374889.0	1240398780.0	39790.77467404514	39791.54108862364
1240398852.0	1240425610.0	39791.54339835742	39792.401785251706
1240546514.0	1240606748.0	39796.28034153647	39798.21262631825
1240606814.0	1240613059.0	39798.21474357421	39798.41508089968
1240613086.0	1240621302.0	39798.41594704984	39798.67951333744
1240624017.0	1240624399.0	39798.76660954859	39798.77886396946
1240624412.0	1240670803.0	39798.779281004725	39800.26748738836
1240698508.0	1240763989.0	39801.156253697736	39803.256860328474
1240764331.0	1240772399.0	39803.26783156391	39803.52665006541
1240781985.0	1240786108.0	39803.834165454035	39803.96642979237
1240795605.0	1240814243.0	39804.2710900934	39804.86899034514
1240821139.0	1240844083.0	39805.090211513496	39805.826246676916
1240849944.0	1240853585.0	39806.014265422236	39806.131067376125
1240853610.0	1240855236.0	39806.13186936702	39806.184030854805
1240860330.0	1240867962.0	39806.34744451949	39806.59227629979
1240872261.0	1240919356.0	39806.730186654015	39808.24097710124
1240919428.0	1240940544.0	39808.243286835015	39808.92068042422
1240940621.0	1240961211.0	39808.92315055618	39809.58367025696
1240961309.0	1241002495.0	39809.586814061266	39810.90804594064
1241002600.0	1241011102.0	39810.9114143024	39811.18415536583
1241068861.0	1241073789.0	39813.037043049044	39813.19513149418
