#GPSstart GPSend GMSTstart GMSTend
1165372614.0 1165374017.0 38989.23156400351 38989.33387238853
1165374029.0 1165374037.0 38989.33474744355 38989.3353308126
1165374049.0 1165376278.0 38989.33620586469 38989.498747128564
1165385939.0 1165416478.0 38990.20323844004 38992.43017770079
1165441494.0 1165445047.0 38994.25437340457 38994.51346228091
1165447384.0 1165448948.0 38994.68387902827 38994.79792772069
1165449275.0 1165449444.0 38994.82177293929 38994.83409661572
1165453495.0 1165456312.0 38995.12950022863 38995.33491913293
1165459287.0 1165462288.0 38995.55185957942 38995.77069597454
1165464183.0 1165465529.0 38995.908881571544 38996.00703344959
1165471951.0 1165473451.0 38996.47533313048 38996.58471486765
1165482091.0 1165486470.0 38997.21475367814 38997.53407543042
1165495987.0 1165497692.0 38998.22806609627 38998.35239667202
1165502897.0 1165502934.0 38998.73195130315 38998.734649386046
1165515176.0 1165515180.0 38999.62735020788 38999.627641893865
1165531683.0 1165533089.0 39000.83105977392 39000.93358692124
1165536840.0 1165537768.0 39001.207114187884 39001.274785022695
1165560592.0 1165564888.0 39002.93913754549 39003.252406842155
1165564913.0 1165566144.0 39003.25422987297 39003.34399581927
1165578351.0 1165591469.0 39004.234144399736 39005.1907241591
1165593870.0 1165594449.0 39005.36580785877 39005.4080292094
1165597228.0 1165598120.0 39005.61067711005 39005.675722782726
1165618017.0 1165624798.0 39007.1266350762 39007.62111345184
1165626214.0 1165645273.0 39007.72436981264 39009.114174172246
1165654827.0 1165671638.0 39009.810862921004 39011.036740519296
1165702039.0 1165702624.0 39013.25361665901 39013.296275537155
1165702825.0 1165702827.0 39013.31093268974 39013.31107853125
1165703030.0 1165715197.0 39013.325881528304 39014.21311326356
1165715236.0 1165717877.0 39014.215957188 39014.408541967605
1165727654.0 1165728496.0 39015.12149213747 39015.182891751465
1165728661.0 1165729094.0 39015.19492374191 39015.22649860539
1165729211.0 1165730211.0 39015.23503037868 39015.307951537776
1165730238.0 1165751642.0 39015.30992041011 39016.87072488611
1165753461.0 1165754544.0 39017.00336847578 39017.08234209048
1165759692.0 1165760979.0 39017.45774021464 39017.55158974421
1165764858.0 1165765381.0 39017.834450918395 39017.872588685765
1165766257.0 1165769188.0 39017.93646762037 39018.150199535674
